'Time';'ECG1';'ECG2'
'[09:00:00.768]';0.015;-0.135
'[09:00:00.772]';0.03;-0.125
'[09:00:00.776]';0.065;-0.115
'[09:00:00.780]';0.085;-0.11
'[09:00:00.784]';0.09;-0.115
'[09:00:00.788]';0.1;-0.12
'[09:00:00.792]';0.095;-0.115
'[09:00:00.796]';0.085;-0.105
'[09:00:00.800]';0.095;-0.1
'[09:00:00.804]';0.075;-0.08
'[09:00:00.808]';0.06;-0.08
'[09:00:00.812]';0.08;-0.08
'[09:00:00.816]';0.075;-0.065
'[09:00:00.820]';0.095;-0.07
'[09:00:00.824]';0.1;-0.055
'[09:00:00.828]';0.09;-0.05
'[09:00:00.832]';0.085;-0.075
'[09:00:00.836]';0.09;-0.075
'[09:00:00.840]';0.105;-0.08
'[09:00:00.844]';0.145;-0.08
'[09:00:00.848]';0.12;-0.08
'[09:00:00.852]';0.1;-0.06
'[09:00:00.856]';0.08;-0.05
'[09:00:00.860]';0.085;-0.07
'[09:00:00.864]';0.025;-0.08
'[09:00:00.868]';-0.01;-0.09
'[09:00:00.872]';0.02;-0.08
'[09:00:00.876]';0.05;-0.08
'[09:00:00.880]';0.075;-0.065
'[09:00:00.884]';0.075;-0.05
'[09:00:00.888]';0.085;-0.065
'[09:00:00.892]';0.1;-0.065
'[09:00:00.896]';0.105;-0.065
'[09:00:00.900]';0.115;-0.06
'[09:00:00.904]';0.165;-0.065
'[09:00:00.908]';0.205;-0.065
'[09:00:00.912]';0.225;-0.06
'[09:00:00.916]';0.205;-0.05
'[09:00:00.920]';0.11;-0.06
'[09:00:00.924]';0.045;-0.06
'[09:00:00.928]';0.065;-0.05
'[09:00:00.932]';0.09;-0.04
'[09:00:00.936]';0.105;-0.075
'[09:00:00.940]';0.11;-0.075
'[09:00:00.944]';0.025;-0.085
'[09:00:00.948]';-0.02;-0.07
'[09:00:00.952]';-0.03;-0.085
'[09:00:00.956]';-0.02;-0.095
'[09:00:00.960]';0.01;-0.125
'[09:00:00.964]';0.055;-0.125
'[09:00:00.968]';0.07;-0.105
'[09:00:00.972]';0.08;-0.09
'[09:00:00.976]';0.085;-0.095
'[09:00:00.980]';0.09;-0.075
'[09:00:00.984]';0.08;-0.085
'[09:00:00.988]';0.095;-0.08
'[09:00:00.992]';0.11;-0.09
'[09:00:00.996]';0.14;-0.075
'[09:00:01.000]';0.09;-0.075
'[09:00:01.004]';0.08;-0.075
'[09:00:01.008]';0.1;-0.06
'[09:00:01.012]';0.095;-0.075
'[09:00:01.016]';0.08;-0.075
'[09:00:01.020]';0.09;-0.07
'[09:00:01.024]';0.125;-0.07
'[09:00:01.028]';0.135;-0.06
'[09:00:01.032]';0.065;-0.055
'[09:00:01.036]';0.055;-0.05
'[09:00:01.040]';0.06;-0.045
'[09:00:01.044]';0.065;-0.055
'[09:00:01.048]';0.07;-0.07
'[09:00:01.052]';0.115;-0.09
'[09:00:01.056]';0.15;-0.1
'[09:00:01.060]';0.105;-0.08
'[09:00:01.064]';0.065;-0.07
'[09:00:01.068]';0.07;-0.055
'[09:00:01.072]';0.06;-0.045
'[09:00:01.076]';0.055;-0.055
'[09:00:01.080]';0.085;-0.065
'[09:00:01.084]';0.135;-0.055
'[09:00:01.088]';0.155;-0.035
'[09:00:01.092]';0.125;0.01
'[09:00:01.096]';0.015;0.055
'[09:00:01.100]';-0.045;0.055
'[09:00:01.104]';-0.035;0.005
'[09:00:01.108]';0.02;-0.035
'[09:00:01.112]';0.065;-0.065
'[09:00:01.116]';0.115;-0.06
'[09:00:01.120]';0.11;-0.05
'[09:00:01.124]';0.055;-0.02
'[09:00:01.128]';-0.11;0
'[09:00:01.132]';-0.275;0.035
'[09:00:01.136]';-0.355;0.07
'[09:00:01.140]';-0.335;0.095
'[09:00:01.144]';-0.26;0.075
'[09:00:01.148]';-0.185;0.015
'[09:00:01.152]';-0.085;-0.04
'[09:00:01.156]';0.07;-0.09
'[09:00:01.160]';0.11;-0.085
'[09:00:01.164]';0.02;-0.09
'[09:00:01.168]';-0.08;-0.085
'[09:00:01.172]';-0.055;-0.085
'[09:00:01.176]';-0.01;-0.07
'[09:00:01.180]';0.05;-0.085
'[09:00:01.184]';0.09;-0.085
'[09:00:01.188]';0.1;-0.085
'[09:00:01.192]';0.07;-0.08
'[09:00:01.196]';0.04;-0.085
'[09:00:01.200]';0.02;-0.105
'[09:00:01.204]';0.035;-0.115
'[09:00:01.208]';0.06;-0.12
'[09:00:01.212]';0.055;-0.115
'[09:00:01.216]';0.07;-0.135
'[09:00:01.220]';0.065;-0.135
'[09:00:01.224]';0.08;-0.14
'[09:00:01.228]';0.065;-0.145
'[09:00:01.232]';0.08;-0.13
'[09:00:01.236]';0.075;-0.11
'[09:00:01.240]';0.065;-0.1
'[09:00:01.244]';0.055;-0.115
'[09:00:01.248]';0.04;-0.115
'[09:00:01.252]';0.035;-0.1
'[09:00:01.256]';0.065;-0.12
'[09:00:01.260]';0.065;-0.125
'[09:00:01.264]';0.095;-0.12
'[09:00:01.268]';0.105;-0.125
'[09:00:01.272]';0.105;-0.095
'[09:00:01.276]';0.08;-0.095
'[09:00:01.280]';0.065;-0.095
'[09:00:01.284]';0.03;-0.105
'[09:00:01.288]';0.015;-0.115
'[09:00:01.292]';0.02;-0.135
'[09:00:01.296]';0.065;-0.145
'[09:00:01.300]';0.105;-0.135
'[09:00:01.304]';0.075;-0.12
'[09:00:01.308]';0.04;-0.12
'[09:00:01.312]';0.04;-0.11
'[09:00:01.316]';0.08;-0.1
'[09:00:01.320]';0.12;-0.1
'[09:00:01.324]';0.125;-0.135
'[09:00:01.328]';0.1;-0.125
'[09:00:01.332]';0.055;-0.12
'[09:00:01.336]';0.01;-0.105
'[09:00:01.340]';0.01;-0.1
'[09:00:01.344]';0.045;-0.115
'[09:00:01.348]';0.075;-0.11
'[09:00:01.352]';0.09;-0.12
'[09:00:01.356]';0.075;-0.13
'[09:00:01.360]';0.07;-0.115
'[09:00:01.364]';0.05;-0.095
'[09:00:01.368]';0.05;-0.09
'[09:00:01.372]';0.065;-0.08
'[09:00:01.376]';0.065;-0.075
'[09:00:01.380]';0.08;-0.065
'[09:00:01.384]';0.085;-0.075
'[09:00:01.388]';0.115;-0.07
'[09:00:01.392]';0.145;-0.065
'[09:00:01.396]';0.15;-0.065
'[09:00:01.400]';0.05;-0.065
'[09:00:01.404]';-0.025;-0.07
'[09:00:01.408]';0.005;-0.08
'[09:00:01.412]';0.075;-0.085
'[09:00:01.416]';0.16;-0.08
'[09:00:01.420]';0.12;-0.065
'[09:00:01.424]';0.01;-0.07
'[09:00:01.428]';-0.06;-0.065
'[09:00:01.432]';-0.025;-0.06
'[09:00:01.436]';0.03;-0.06
'[09:00:01.440]';0.075;-0.04
'[09:00:01.444]';0.04;-0.075
'[09:00:01.448]';-0.025;-0.085
'[09:00:01.452]';-0.04;-0.065
'[09:00:01.456]';0;-0.07
'[09:00:01.460]';0.04;-0.075
'[09:00:01.464]';0.08;-0.075
'[09:00:01.468]';0.095;-0.065
'[09:00:01.472]';0.125;-0.055
'[09:00:01.476]';0.085;-0.065
'[09:00:01.480]';0.02;-0.1
'[09:00:01.484]';0.015;-0.115
'[09:00:01.488]';0.06;-0.1
'[09:00:01.492]';0.09;-0.095
'[09:00:01.496]';0.07;-0.08
'[09:00:01.500]';0.035;-0.075
'[09:00:01.504]';0.04;-0.09
'[09:00:01.508]';0.09;-0.08
'[09:00:01.512]';0.15;-0.08
'[09:00:01.516]';0.19;-0.08
'[09:00:01.520]';0.135;-0.07
'[09:00:01.524]';0.075;-0.05
'[09:00:01.528]';0.015;-0.05
'[09:00:01.532]';-0.05;-0.055
'[09:00:01.536]';-0.03;-0.06
'[09:00:01.540]';0;-0.065
'[09:00:01.544]';0.02;-0.075
'[09:00:01.548]';0.03;-0.07
'[09:00:01.552]';0.05;-0.07
'[09:00:01.556]';0.035;-0.075
'[09:00:01.560]';0.01;-0.065
'[09:00:01.564]';0.015;-0.07
'[09:00:01.568]';0.005;-0.055
'[09:00:01.572]';0.02;-0.055
'[09:00:01.576]';0.045;-0.065
'[09:00:01.580]';0.095;-0.065
'[09:00:01.584]';0.14;-0.08
'[09:00:01.588]';0.115;-0.095
'[09:00:01.592]';0.02;-0.05
'[09:00:01.596]';-0.065;-0.035
'[09:00:01.600]';-0.05;-0.045
'[09:00:01.604]';-0.02;-0.06
'[09:00:01.608]';0.025;-0.07
'[09:00:01.612]';0.07;-0.06
'[09:00:01.616]';0.1;-0.065
'[09:00:01.620]';0.08;-0.07
'[09:00:01.624]';0.05;-0.055
'[09:00:01.628]';0.07;-0.02
'[09:00:01.632]';0.115;-0.01
'[09:00:01.636]';0.11;-0.03
'[09:00:01.640]';0.01;-0.05
'[09:00:01.644]';0.02;-0.065
'[09:00:01.648]';0.065;-0.055
'[09:00:01.652]';0.085;-0.04
'[09:00:01.656]';0.04;-0.04
'[09:00:01.660]';0.025;-0.04
'[09:00:01.664]';0.04;-0.03
'[09:00:01.668]';0.035;-0.015
'[09:00:01.672]';0.065;0
'[09:00:01.676]';0.065;0.01
'[09:00:01.680]';0.09;0.015
'[09:00:01.684]';0.085;0.025
'[09:00:01.688]';0.04;0.025
'[09:00:01.692]';0.065;0.025
'[09:00:01.696]';0.055;0.025
'[09:00:01.700]';0.035;0.005
'[09:00:01.704]';0.07;0
'[09:00:01.708]';0.11;0
'[09:00:01.712]';0.035;0.01
'[09:00:01.716]';-0.15;0.05
'[09:00:01.720]';-0.32;0.08
'[09:00:01.724]';-0.35;0.12
'[09:00:01.728]';-0.345;0.15
'[09:00:01.732]';-0.305;0.135
'[09:00:01.736]';-0.24;0.1
'[09:00:01.740]';-0.16;0.03
'[09:00:01.744]';-0.125;-0.035
'[09:00:01.748]';-0.03;-0.055
'[09:00:01.752]';0.02;-0.075
'[09:00:01.756]';-0.02;-0.085
'[09:00:01.760]';-0.04;-0.095
'[09:00:01.764]';0.005;-0.085
'[09:00:01.768]';0.02;-0.055
'[09:00:01.772]';0.05;-0.04
'[09:00:01.776]';0.095;-0.045
'[09:00:01.780]';0.115;-0.04
'[09:00:01.784]';0.075;-0.05
'[09:00:01.788]';0.035;-0.06
'[09:00:01.792]';0.055;-0.075
'[09:00:01.796]';0.11;-0.08
'[09:00:01.800]';0.13;-0.065
'[09:00:01.804]';0.1;-0.075
'[09:00:01.808]';0.055;-0.065
'[09:00:01.812]';0.035;-0.09
'[09:00:01.816]';0.03;-0.1
'[09:00:01.820]';0.02;-0.095
'[09:00:01.824]';0.035;-0.11
'[09:00:01.828]';0.08;-0.105
'[09:00:01.832]';0.17;-0.085
'[09:00:01.836]';0.195;-0.075
'[09:00:01.840]';0.115;-0.09
'[09:00:01.844]';0.065;-0.085
'[09:00:01.848]';0.065;-0.07
'[09:00:01.852]';0.025;-0.055
'[09:00:01.856]';-0.015;-0.085
'[09:00:01.860]';0;-0.08
'[09:00:01.864]';0.055;-0.07
'[09:00:01.868]';0.055;-0.095
'[09:00:01.872]';0.03;-0.125
'[09:00:01.876]';0.025;-0.145
'[09:00:01.880]';0.065;-0.145
'[09:00:01.884]';0.085;-0.105
'[09:00:01.888]';0.095;-0.11
'[09:00:01.892]';0.105;-0.1
'[09:00:01.896]';0.09;-0.105
'[09:00:01.900]';0.095;-0.105
'[09:00:01.904]';0.185;-0.105
'[09:00:01.908]';0.27;-0.07
'[09:00:01.912]';0.13;-0.07
'[09:00:01.916]';-0.07;-0.07
'[09:00:01.920]';-0.07;-0.075
'[09:00:01.924]';0;-0.085
'[09:00:01.928]';0.07;-0.09
'[09:00:01.932]';0.085;-0.09
'[09:00:01.936]';0.04;-0.07
'[09:00:01.940]';0.04;-0.065
'[09:00:01.944]';0.055;-0.06
'[09:00:01.948]';0.085;-0.055
'[09:00:01.952]';0.03;-0.04
'[09:00:01.956]';0.005;-0.01
'[09:00:01.960]';0;-0.025
'[09:00:01.964]';0.02;-0.06
'[09:00:01.968]';0.085;-0.08
'[09:00:01.972]';0.105;-0.04
'[09:00:01.976]';0.025;-0.015
'[09:00:01.980]';-0.01;-0.005
'[09:00:01.984]';0.02;-0.025
'[09:00:01.988]';0.05;-0.045
'[09:00:01.992]';0.07;-0.06
'[09:00:01.996]';0.06;-0.045
'[09:00:02.000]';0.04;-0.015
'[09:00:02.004]';0.025;0
'[09:00:02.008]';0.025;0.015
'[09:00:02.012]';0.11;0.035
'[09:00:02.016]';0.12;0.015
'[09:00:02.020]';0.045;-0.01
'[09:00:02.024]';-0.025;-0.02
'[09:00:02.028]';-0.035;-0.005
'[09:00:02.032]';0.01;0
'[09:00:02.036]';0.055;0.01
'[09:00:02.040]';0.05;0.005
'[09:00:02.044]';0.035;0.015
'[09:00:02.048]';0.01;0.01
'[09:00:02.052]';0.035;0.01
'[09:00:02.056]';0.085;0.025
'[09:00:02.060]';0.09;0.025
'[09:00:02.064]';0.09;0
'[09:00:02.068]';0.17;0.01
'[09:00:02.072]';0.19;0.015
'[09:00:02.076]';0.035;0.035
'[09:00:02.080]';-0.07;0.02
'[09:00:02.084]';-0.005;0.015
'[09:00:02.088]';0.12;0.01
'[09:00:02.092]';0.16;0.005
'[09:00:02.096]';0.18;0.015
'[09:00:02.100]';0.1;0.045
'[09:00:02.104]';-0.015;0.045
'[09:00:02.108]';-0.08;0.055
'[09:00:02.112]';-0.07;0.075
'[09:00:02.116]';-0.03;0.08
'[09:00:02.120]';0.005;0.065
'[09:00:02.124]';0.035;0.08
'[09:00:02.128]';0.08;0.09
'[09:00:02.132]';0.07;0.09
'[09:00:02.136]';0.035;0.08
'[09:00:02.140]';0.035;0.085
'[09:00:02.144]';0.055;0.09
'[09:00:02.148]';0.06;0.115
'[09:00:02.152]';0.045;0.1
'[09:00:02.156]';0.09;0.095
'[09:00:02.160]';0.08;0.1
'[09:00:02.164]';0.05;0.11
'[09:00:02.168]';-0.02;0.12
'[09:00:02.172]';-0.01;0.09
'[09:00:02.176]';0.06;0.095
'[09:00:02.180]';0.12;0.1
'[09:00:02.184]';0.06;0.13
'[09:00:02.188]';-0.055;0.155
'[09:00:02.192]';-0.08;0.155
'[09:00:02.196]';-0.015;0.145
'[09:00:02.200]';0.1;0.145
'[09:00:02.204]';0.125;0.17
'[09:00:02.208]';0.005;0.175
'[09:00:02.212]';-0.06;0.16
'[09:00:02.216]';-0.025;0.145
'[09:00:02.220]';0.005;0.12
'[09:00:02.224]';0.04;0.125
'[09:00:02.228]';0.045;0.14
'[09:00:02.232]';0.075;0.175
'[09:00:02.236]';0.105;0.16
'[09:00:02.240]';0.08;0.135
'[09:00:02.244]';0.07;0.115
'[09:00:02.248]';0.075;0.12
'[09:00:02.252]';0.06;0.155
'[09:00:02.256]';0;0.18
'[09:00:02.260]';-0.1;0.175
'[09:00:02.264]';-0.115;0.155
'[09:00:02.268]';-0.03;0.16
'[09:00:02.272]';0.04;0.16
'[09:00:02.276]';0.115;0.15
'[09:00:02.280]';0.12;0.145
'[09:00:02.284]';0.085;0.14
'[09:00:02.288]';0.05;0.135
'[09:00:02.292]';0.07;0.15
'[09:00:02.296]';0.035;0.18
'[09:00:02.300]';-0.04;0.21
'[09:00:02.304]';-0.095;0.255
'[09:00:02.308]';-0.095;0.28
'[09:00:02.312]';-0.05;0.255
'[09:00:02.316]';0.015;0.225
'[09:00:02.320]';0.085;0.225
'[09:00:02.324]';0.165;0.24
'[09:00:02.328]';0.12;0.245
'[09:00:02.332]';-0.09;0.275
'[09:00:02.336]';-0.315;0.31
'[09:00:02.340]';-0.435;0.32
'[09:00:02.344]';-0.435;0.33
'[09:00:02.348]';-0.395;0.36
'[09:00:02.352]';-0.275;0.365
'[09:00:02.356]';-0.175;0.335
'[09:00:02.360]';-0.14;0.27
'[09:00:02.364]';-0.165;0.25
'[09:00:02.368]';-0.125;0.25
'[09:00:02.372]';-0.07;0.23
'[09:00:02.376]';-0.045;0.22
'[09:00:02.380]';-0.05;0.19
'[09:00:02.384]';-0.015;0.19
'[09:00:02.388]';0.045;0.23
'[09:00:02.392]';0.08;0.265
'[09:00:02.396]';0.04;0.265
'[09:00:02.400]';-0.02;0.25
'[09:00:02.404]';0.005;0.235
'[09:00:02.408]';0.06;0.225
'[09:00:02.412]';0.145;0.22
'[09:00:02.416]';0.195;0.225
'[09:00:02.420]';0.13;0.215
'[09:00:02.424]';0;0.225
'[09:00:02.428]';-0.045;0.25
'[09:00:02.432]';0.045;0.22
'[09:00:02.436]';0.075;0.175
'[09:00:02.440]';0.005;0.17
'[09:00:02.444]';-0.05;0.175
'[09:00:02.448]';-0.01;0.19
'[09:00:02.452]';0.045;0.205
'[09:00:02.456]';0.11;0.2
'[09:00:02.460]';0.095;0.205
'[09:00:02.464]';0.03;0.185
'[09:00:02.468]';-0.055;0.17
'[09:00:02.472]';-0.06;0.175
'[09:00:02.476]';-0.005;0.195
'[09:00:02.480]';0.015;0.185
'[09:00:02.484]';0.015;0.175
'[09:00:02.488]';0.07;0.17
'[09:00:02.492]';0.075;0.185
'[09:00:02.496]';0.15;0.18
'[09:00:02.500]';0.175;0.205
'[09:00:02.504]';0.11;0.215
'[09:00:02.508]';-0.035;0.215
'[09:00:02.512]';-0.13;0.2
'[09:00:02.516]';-0.1;0.19
'[09:00:02.520]';-0.015;0.19
'[09:00:02.524]';0.065;0.2
'[09:00:02.528]';0.065;0.185
'[09:00:02.532]';0.01;0.18
'[09:00:02.536]';-0.01;0.17
'[09:00:02.540]';0.025;0.175
'[09:00:02.544]';0.065;0.19
'[09:00:02.548]';0.105;0.205
'[09:00:02.552]';0.065;0.205
'[09:00:02.556]';-0.03;0.2
'[09:00:02.560]';0;0.2
'[09:00:02.564]';0.035;0.175
'[09:00:02.568]';0.05;0.195
'[09:00:02.572]';0.045;0.22
'[09:00:02.576]';0.01;0.22
'[09:00:02.580]';-0.02;0.225
'[09:00:02.584]';0;0.245
'[09:00:02.588]';-0.01;0.25
'[09:00:02.592]';-0.03;0.265
'[09:00:02.596]';-0.03;0.245
'[09:00:02.600]';-0.005;0.225
'[09:00:02.604]';0.055;0.215
'[09:00:02.608]';0.075;0.225
'[09:00:02.612]';0.075;0.215
'[09:00:02.616]';0.01;0.225
'[09:00:02.620]';-0.02;0.21
'[09:00:02.624]';0;0.25
'[09:00:02.628]';0.035;0.275
'[09:00:02.632]';0.085;0.285
'[09:00:02.636]';0.005;0.275
'[09:00:02.640]';-0.07;0.28
'[09:00:02.644]';-0.07;0.285
'[09:00:02.648]';-0.035;0.29
'[09:00:02.652]';-0.035;0.29
'[09:00:02.656]';-0.02;0.28
'[09:00:02.660]';0.025;0.295
'[09:00:02.664]';0.07;0.315
'[09:00:02.668]';0.09;0.31
'[09:00:02.672]';0.02;0.27
'[09:00:02.676]';-0.02;0.255
'[09:00:02.680]';-0.005;0.255
'[09:00:02.684]';0.045;0.26
'[09:00:02.688]';0.125;0.26
'[09:00:02.692]';0.125;0.265
'[09:00:02.696]';0.045;0.255
'[09:00:02.700]';-0.035;0.275
'[09:00:02.704]';-0.045;0.285
'[09:00:02.708]';-0.015;0.275
'[09:00:02.712]';0.025;0.275
'[09:00:02.716]';0.025;0.275
'[09:00:02.720]';-0.015;0.28
'[09:00:02.724]';-0.01;0.29
'[09:00:02.728]';-0.01;0.31
'[09:00:02.732]';0.03;0.31
'[09:00:02.736]';0.1;0.295
'[09:00:02.740]';0.11;0.27
'[09:00:02.744]';0;0.29
'[09:00:02.748]';-0.115;0.29
'[09:00:02.752]';-0.12;0.285
'[09:00:02.756]';-0.035;0.295
'[09:00:02.760]';0.03;0.27
'[09:00:02.764]';0.055;0.25
'[09:00:02.768]';0.025;0.235
'[09:00:02.772]';-0.005;0.22
'[09:00:02.776]';-0.015;0.235
'[09:00:02.780]';0.025;0.26
'[09:00:02.784]';0.105;0.29
'[09:00:02.788]';0.16;0.3
'[09:00:02.792]';0.16;0.285
'[09:00:02.796]';0.035;0.26
'[09:00:02.800]';-0.14;0.27
'[09:00:02.804]';-0.22;0.295
'[09:00:02.808]';-0.1;0.315
'[09:00:02.812]';-0.01;0.305
'[09:00:02.816]';0.005;0.315
