'Elapsed time';'ECG1';'ECG2'
'0:00.724';-0.775;-0.02
'0:00.728';1.09;0.13
'0:00.732';0.375;0.2
'0:00.736';-1.62;0.125
'0:00.740';-0.96;0.025
'0:00.744';1.005;0.145
'0:00.748';0.52;0.235
'0:00.752';-1.5;0.24
'0:00.756';-1.005;0.145
'0:00.760';1.025;0.22
'0:00.764';0.725;0.37
'0:00.768';-1.36;0.34
'0:00.772';-1.195;0.285
'0:00.776';0.94;0.34
'0:00.780';1.06;0.46
'0:00.784';-1;0.44
'0:00.788';-1.275;0.395
'0:00.792';0.745;0.44
'0:00.796';1.29;0.555
'0:00.800';-0.665;0.535
'0:00.804';-1.435;0.46
'0:00.808';0.465;0.515
'0:00.812';1.475;0.61
'0:00.816';-0.315;0.62
'0:00.820';-1.53;0.525
'0:00.824';0.085;0.52
'0:00.828';1.495;0.605
'0:00.832';0.02;0.62
'0:00.836';-1.57;0.51
'0:00.840';-0.3;0.435
'0:00.844';1.35;0.5
'0:00.848';0.24;0.53
'0:00.852';-1.59;0.365
'0:00.856';-0.59;0.265
'0:00.860';1.165;0.31
'0:00.864';0.145;0.345
'0:00.868';-1.72;0.205
'0:00.872';-0.865;0.08
'0:00.876';1.03;0.095
'0:00.880';0.27;0.135
'0:00.884';-1.695;0.035
'0:00.888';-1.02;-0.065
'0:00.892';0.99;-0.025
'0:00.896';0.505;0.035
'0:00.900';-1.55;-0.07
'0:00.904';-1.265;-0.165
'0:00.908';0.81;-0.135
'0:00.912';0.65;-0.035
'0:00.916';-1.435;-0.11
'0:00.920';-1.42;-0.2
'0:00.924';0.675;-0.17
'0:00.928';0.85;-0.04
'0:00.932';-1.25;-0.085
'0:00.936';-1.65;-0.235
'0:00.940';0.42;-0.185
'0:00.944';1.075;-0.08
'0:00.948';-0.885;-0.05
'0:00.952';-1.885;-0.215
'0:00.956';-0.05;-0.18
'0:00.960';1.215;-0.08
'0:00.964';-0.345;-0.045
'0:00.968';-1.83;-0.17
'0:00.972';-0.29;-0.2
'0:00.976';1.21;-0.07
'0:00.980';-0.15;-0.025
'0:00.984';-1.865;-0.125
'0:00.988';-0.71;-0.2
'0:00.992';1.115;-0.115
'0:00.996';0.265;-0.025
'0:01.000';-1.675;-0.1
'0:01.004';-1.025;-0.2
'0:01.008';1.02;-0.13
'0:01.012';0.68;-0.04
'0:01.016';-1.41;-0.09
'0:01.020';-1.415;-0.215
'0:01.024';0.68;-0.16
'0:01.028';0.805;-0.03
'0:01.032';-1.24;-0.065
'0:01.036';-1.605;-0.18
'0:01.040';0.405;-0.185
'0:01.044';0.96;-0.065
'0:01.048';-0.99;-0.065
'0:01.052';-1.735;-0.215
'0:01.056';0.145;-0.16
'0:01.060';1.14;-0.065
'0:01.064';-0.635;-0.065
'0:01.068';-1.89;-0.2
'0:01.072';-0.25;-0.215
'0:01.076';1.2;-0.12
'0:01.080';-0.12;-0.075
'0:01.084';-1.835;-0.15
'0:01.088';-0.71;-0.24
'0:01.092';1.125;-0.14
'0:01.096';0.295;-0.06
'0:01.100';-1.685;-0.14
'0:01.104';-1.18;-0.235
'0:01.108';0.855;-0.175
'0:01.112';0.645;-0.07
'0:01.116';-1.44;-0.12
'0:01.120';-1.475;-0.21
'0:01.124';0.63;-0.195
'0:01.128';1.01;-0.065
'0:01.132';-1.015;-0.07
'0:01.136';-1.58;-0.18
'0:01.140';0.37;-0.205
'0:01.144';0.985;-0.05
'0:01.148';-0.97;-0.06
'0:01.152';-1.7;-0.195
'0:01.156';0.195;-0.195
'0:01.160';1.02;-0.06
'0:01.164';-0.805;-0.085
'0:01.168';-1.71;-0.19
'0:01.172';0.17;-0.165
'0:01.176';1.19;-0.06
'0:01.180';-0.565;-0.07
'0:01.184';-1.675;-0.16
'0:01.188';0.065;-0.17
'0:01.192';1.285;-0.015
'0:01.196';-0.32;0.07
'0:01.200';-1.7;-0.025
'0:01.204';-0.245;-0.02
'0:01.208';1.36;0.1
'0:01.212';0.205;0.215
'0:01.216';-1.59;0.055
'0:01.220';-0.67;-0.05
'0:01.224';1.22;-0.035
'0:01.228';0.55;-0.005
'0:01.232';-1.52;-0.125
'0:01.236';-1.19;-0.3
'0:01.240';0.89;-0.305
'0:01.244';0.86;-0.19
'0:01.248';-1.23;-0.21
'0:01.252';-1.395;-0.295
'0:01.256';0.655;-0.275
'0:01.260';0.905;-0.16
'0:01.264';-1.21;-0.185
'0:01.268';-1.635;-0.26
'0:01.272';0.39;-0.235
'0:01.276';0.785;-0.145
'0:01.280';-1.22;-0.165
'0:01.284';-1.595;-0.29
'0:01.288';0.46;-0.245
'0:01.292';0.95;-0.14
'0:01.296';-1.055;-0.18
'0:01.300';-1.645;-0.295
'0:01.304';0.315;-0.285
'0:01.308';0.945;-0.165
'0:01.312';-0.985;-0.2
'0:01.316';-1.72;-0.3
'0:01.320';0.215;-0.27
'0:01.324';1.095;-0.16
'0:01.328';-0.77;-0.13
'0:01.332';-1.92;-0.175
'0:01.336';-0.255;0.02
'0:01.340';1.185;0.355
'0:01.344';-0.135;0.4
'0:01.348';-1.445;0.22
'0:01.352';0.125;0.36
'0:01.356';2.145;0.57
'0:01.360';1.605;0
'0:01.364';-0.05;-0.845
'0:01.368';0.665;-1.455
'0:01.372';1.805;-1.7
'0:01.376';0.36;-1.97
'0:01.380';-1.945;-2.445
'0:01.384';-1.585;-2.63
'0:01.388';0.55;-2.48
'0:01.392';-0.055;-2.105
'0:01.396';-1.94;-1.675
'0:01.400';-1.005;-1.045
'0:01.404';1.04;-0.495
'0:01.408';0.33;-0.135
'0:01.412';-1.625;-0.065
'0:01.416';-0.96;-0.1
'0:01.420';0.94;-0.005
'0:01.424';0.25;0.05
'0:01.428';-1.7;-0.03
'0:01.432';-1.155;-0.09
'0:01.436';0.885;-0.045
'0:01.440';0.49;0.055
'0:01.444';-1.53;-0.01
'0:01.448';-1.235;-0.095
'0:01.452';0.825;-0.035
'0:01.456';0.82;0.08
'0:01.460';-1.295;0.04
'0:01.464';-1.615;-0.1
'0:01.468';0.42;0.005
'0:01.472';1.03;0.105
'0:01.476';-0.92;0.085
'0:01.480';-1.705;-0.025
'0:01.484';0.22;-0.02
'0:01.488';1.155;0.09
'0:01.492';-0.635;0.145
'0:01.496';-1.79;0
'0:01.500';-0.1;-0.005
'0:01.504';1.12;0.105
'0:01.508';-0.49;0.155
'0:01.512';-1.76;0.055
'0:01.516';-0.16;0.07
'0:01.520';1.25;0.185
'0:01.524';-0.155;0.205
'0:01.528';-1.555;0.145
'0:01.532';-0.11;0.13
'0:01.536';1.265;0.275
'0:01.540';-0.18;0.315
'0:01.544';-1.645;0.23
'0:01.548';-0.215;0.19
'0:01.552';1.315;0.35
'0:01.556';0.005;0.415
'0:01.560';-1.555;0.34
'0:01.564';-0.25;0.355
'0:01.568';1.425;0.495
'0:01.572';0.32;0.545
'0:01.576';-1.43;0.435
'0:01.580';-0.33;0.425
'0:01.584';1.425;0.535
'0:01.588';0.525;0.605
'0:01.592';-1.36;0.51
'0:01.596';-0.54;0.43
'0:01.600';1.38;0.505
'0:01.604';0.765;0.59
'0:01.608';-1.315;0.55
'0:01.612';-0.875;0.44
'0:01.616';1.13;0.46
'0:01.620';0.855;0.53
'0:01.624';-1.255;0.45
'0:01.628';-1.275;0.3
'0:01.632';0.79;0.3
'0:01.636';1.035;0.395
'0:01.640';-1.03;0.335
'0:01.644';-1.415;0.14
'0:01.648';0.57;0.115
'0:01.652';0.995;0.175
'0:01.656';-1.045;0.105
'0:01.660';-1.65;-0.03
'0:01.664';0.28;-0.06
'0:01.668';0.935;-0.005
'0:01.672';-0.95;-0.02
'0:01.676';-1.675;-0.17
'0:01.680';0.23;-0.17
'0:01.684';1.035;-0.07
'0:01.688';-0.83;-0.105
'0:01.692';-1.745;-0.24
'0:01.696';0.13;-0.225
'0:01.700';1.065;-0.125
'0:01.704';-0.74;-0.105
'0:01.708';-1.765;-0.255
'0:01.712';0.015;-0.235
'0:01.716';1.19;-0.165
'0:01.720';-0.465;-0.115
'0:01.724';-1.84;-0.24
'0:01.728';-0.365;-0.25
'0:01.732';1.185;-0.145
'0:01.736';-0.07;-0.065
'0:01.740';-1.765;-0.145
'0:01.744';-0.7;-0.225
'0:01.748';1.25;-0.11
'0:01.752';0.58;-0.04
'0:01.756';-1.455;-0.055
'0:01.760';-0.945;0.045
'0:01.764';1.025;0.39
'0:01.768';0.735;0.605
'0:01.772';-1.395;0.63
'0:01.776';-1.47;0.14
'0:01.780';0.39;-0.585
'0:01.784';0.265;-1.645
'0:01.788';-1.865;-2.92
'0:01.792';-2.195;-3.455
'0:01.796';0.005;-3.82
'0:01.800';0.565;-4.275
'0:01.804';-1.305;-4.92
'0:01.808';-1.57;-5.11
'0:01.812';0.68;-4.755
'0:01.816';1.03;-4.285
'0:01.820';-1.01;-3.785
'0:01.824';-1.725;-3.225
'0:01.828';0.22;-2.52
'0:01.832';0.56;-2.11
'0:01.836';-1.515;-2.115
'0:01.840';-2.22;-2.11
'0:01.844';-0.07;-1.685
'0:01.848';0.685;-1.365
'0:01.852';-1.155;-1.14
'0:01.856';-2;-1.075
'0:01.860';-0.03;-0.765
'0:01.864';1.115;-0.475
'0:01.868';-0.525;-0.255
'0:01.872';-1.69;-0.13
'0:01.876';0.015;0.05
'0:01.880';1.33;0.265
'0:01.884';-0.155;0.355
'0:01.888';-1.715;0.315
'0:01.892';-0.375;0.345
'0:01.896';1.245;0.475
'0:01.900';0.06;0.54
'0:01.904';-1.65;0.45
'0:01.908';-0.52;0.435
'0:01.912';1.185;0.535
'0:01.916';0.13;0.605
'0:01.920';-1.545;0.56
'0:01.924';-0.3;0.545
'0:01.928';1.33;0.65
'0:01.932';0.075;0.74
'0:01.936';-1.525;0.665
'0:01.940';-0.22;0.685
'0:01.944';1.35;0.815
'0:01.948';0.09;0.92
'0:01.952';-1.455;0.865
'0:01.956';-0.15;0.85
'0:01.960';1.53;0.99
'0:01.964';0.385;1.175
'0:01.968';-1.26;1.17
'0:01.972';-0.1;1.23
'0:01.976';1.66;1.405
'0:01.980';0.665;1.56
'0:01.984';-1.05;1.565
'0:01.988';-0.065;1.535
'0:01.992';1.815;1.645
'0:01.996';1.12;1.785
'0:02.000';-0.895;1.75
'0:02.004';-0.39;1.635
'0:02.008';1.605;1.705
'0:02.012';1.22;1.795
'0:02.016';-0.815;1.81
'0:02.020';-0.63;1.74
'0:02.024';1.36;1.795
'0:02.028';1.265;1.87
'0:02.032';-0.86;1.745
'0:02.036';-0.765;1.55
'0:02.040';1.17;1.54
'0:02.044';0.98;1.53
'0:02.048';-1.115;1.36
'0:02.052';-1.085;1.12
'0:02.056';0.935;1.025
'0:02.060';0.83;1.02
'0:02.064';-1.23;0.83
'0:02.068';-1.245;0.63
'0:02.072';0.775;0.575
'0:02.076';0.78;0.565
'0:02.080';-1.28;0.425
'0:02.084';-1.45;0.25
'0:02.088';0.57;0.225
'0:02.092';0.82;0.255
'0:02.096';-1.205;0.16
'0:02.100';-1.675;0.015
'0:02.104';0.02;0.005
'0:02.108';0.255;0.02
'0:02.112';-0.495;-0.025
'0:02.116';-0.64;0.01
'0:02.120';-0.055;-0.045
'0:02.124';0.095;-0.14
'0:02.128';-0.545;-0.14
'0:02.132';-0.785;-0.06
'0:02.136';-0.2;-0.11
'0:02.140';0.12;-0.18
'0:02.144';-0.42;-0.225
'0:02.148';-0.77;-0.15
'0:02.152';-0.25;-0.135
'0:02.156';0.135;-0.205
'0:02.160';-0.345;-0.255
'0:02.164';-0.78;-0.16
'0:02.168';-0.355;-0.195
'0:02.172';0.09;-0.23
'0:02.176';-0.315;-0.25
'0:02.180';-0.765;-0.19
'0:02.184';-0.37;-0.185
'0:02.188';0.11;-0.25
'0:02.192';-0.28;-0.255
'0:02.196';-0.77;-0.22
'0:02.200';-0.435;-0.15
'0:02.204';0.115;-0.21
'0:02.208';-0.2;-0.26
'0:02.212';-0.775;-0.215
'0:02.216';-0.505;-0.15
'0:02.220';0.095;-0.195
'0:02.224';-0.115;-0.26
'0:02.228';-0.74;-0.22
'0:02.232';-0.57;-0.185
'0:02.236';0.06;-0.205
'0:02.240';-0.01;-0.255
'0:02.244';-0.69;-0.23
'0:02.248';-0.67;-0.16
'0:02.252';-0.035;-0.185
'0:02.256';0.065;-0.24
'0:02.260';-0.585;-0.225
'0:02.264';-0.73;-0.185
'0:02.268';-0.135;-0.175
'0:02.272';0.115;-0.27
'0:02.276';-0.425;-0.24
'0:02.280';-0.77;-0.18
'0:02.284';-0.23;-0.18
'0:02.288';0.14;-0.225
'0:02.292';-0.31;-0.26
'0:02.296';-0.72;-0.18
'0:02.300';-0.295;-0.165
'0:02.304';0.14;-0.23
'0:02.308';-0.235;-0.255
'0:02.312';-0.715;-0.215
'0:02.316';-0.295;-0.18
'0:02.320';0.135;-0.255
'0:02.324';-0.26;-0.28
'0:02.328';-0.72;-0.235
'0:02.332';-0.265;-0.17
'0:02.336';0.19;-0.27
'0:02.340';-0.265;-0.27
'0:02.344';-0.75;-0.235
'0:02.348';-0.325;-0.18
'0:02.352';0.1;-0.255
'0:02.356';-0.245;-0.305
'0:02.360';-0.77;-0.25
'0:02.364';-0.335;-0.2
'0:02.368';0.16;-0.28
'0:02.372';-0.225;-0.31
'0:02.376';-0.74;-0.225
'0:02.380';-0.42;-0.205
'0:02.384';0.16;-0.29
'0:02.388';-0.04;-0.325
'0:02.392';-0.705;-0.255
'0:02.396';-0.565;-0.22
'0:02.400';0.1;-0.25
'0:02.404';0.055;-0.325
'0:02.408';-0.58;-0.27
'0:02.412';-0.62;-0.21
'0:02.416';0.025;-0.25
'0:02.420';0.1;-0.34
'0:02.424';-0.51;-0.34
'0:02.428';-0.675;-0.2
'0:02.432';-0.075;-0.215
'0:02.436';0.105;-0.315
'0:02.440';-0.495;-0.315
'0:02.444';-0.685;-0.225
'0:02.448';-0.11;-0.22
'0:02.452';0.08;-0.29
'0:02.456';-0.51;-0.305
'0:02.460';-0.68;-0.255
'0:02.464';-0.07;-0.245
'0:02.468';0.14;-0.285
'0:02.472';-0.48;-0.3
'0:02.476';-0.635;-0.25
'0:02.480';-0.02;-0.26
'0:02.484';0.135;-0.325
'0:02.488';-0.49;-0.29
'0:02.492';-0.685;-0.245
'0:02.496';-0.06;-0.245
'0:02.500';0.18;-0.3
'0:02.504';-0.42;-0.29
'0:02.508';-0.7;-0.245
'0:02.512';-0.17;-0.24
'0:02.516';0.195;-0.285
'0:02.520';-0.255;-0.29
'0:02.524';-0.705;-0.255
'0:02.528';-0.3;-0.195
'0:02.532';0.175;-0.27
'0:02.536';-0.155;-0.335
'0:02.540';-0.71;-0.27
'0:02.544';-0.43;-0.26
'0:02.548';0.155;-0.3
'0:02.552';-0.06;-0.3
'0:02.556';-0.685;-0.275
'0:02.560';-0.475;-0.205
'0:02.564';0.115;-0.27
'0:02.568';-0.105;-0.295
'0:02.572';-0.685;-0.27
'0:02.576';-0.51;-0.225
'0:02.580';0.125;-0.245
'0:02.584';-0.06;-0.325
'0:02.588';-0.635;-0.26
'0:02.592';-0.495;-0.22
'0:02.596';0.1;-0.25
'0:02.600';-0.03;-0.34
'0:02.604';-0.63;-0.295
'0:02.608';-0.56;-0.255
'0:02.612';0.05;-0.285
'0:02.616';0.03;-0.34
'0:02.620';-0.6;-0.32
'0:02.624';-0.65;-0.27
'0:02.628';-0.045;-0.24
'0:02.632';0.16;-0.345
'0:02.636';-0.44;-0.325
'0:02.640';-0.735;-0.27
'0:02.644';-0.185;-0.24
'0:02.648';0.18;-0.31
'0:02.652';-0.345;-0.36
'0:02.656';-0.755;-0.27
'0:02.660';-0.33;-0.24
'0:02.664';0.15;-0.31
'0:02.668';-0.235;-0.35
'0:02.672';-0.75;-0.32
'0:02.676';-0.415;-0.255
'0:02.680';0.16;-0.305
'0:02.684';-0.12;-0.35
'0:02.688';-0.68;-0.3
'0:02.692';-0.455;-0.225
'0:02.696';0.135;-0.29
'0:02.700';-0.075;-0.345
'0:02.704';-0.665;-0.31
'0:02.708';-0.5;-0.2
'0:02.712';0.125;-0.245
'0:02.716';-0.04;-0.29
'0:02.720';-0.64;-0.255
'0:02.724';-0.465;-0.215
'0:02.728';0.16;-0.205
'0:02.732';0.065;-0.215
'0:02.736';-0.55;-0.145
'0:02.740';-0.475;-0.105
'0:02.744';0.125;-0.08
'0:02.748';0.235;-0.125
'0:02.752';-0.41;-0.1
'0:02.756';-0.475;-0.105
'0:02.760';0.16;-0.17
'0:02.764';0.25;-0.26
'0:02.768';-0.43;-0.295
'0:02.772';-0.62;-0.3
'0:02.776';-0.035;-0.395
'0:02.780';0.2;-0.455
'0:02.784';-0.37;-0.435
'0:02.788';-0.69;-0.33
'0:02.792';-0.185;-0.345
'0:02.796';0.15;-0.38
'0:02.800';-0.375;-0.42
'0:02.804';-0.785;-0.305
'0:02.808';-0.345;-0.265
'0:02.812';0.06;-0.37
'0:02.816';-0.38;-0.42
'0:02.820';-0.83;-0.385
'0:02.824';-0.385;-0.325
'0:02.828';0.09;-0.41
'0:02.832';-0.32;-0.44
'0:02.836';-0.79;-0.39
'0:02.840';-0.415;-0.345
'0:02.844';0.11;-0.43
'0:02.848';-0.275;-0.425
'0:02.852';-0.82;-0.405
'0:02.856';-0.5;-0.345
'0:02.860';0.01;-0.375
'0:02.864';-0.385;-0.315
'0:02.868';-0.885;-0.045
'0:02.872';-0.35;0.19
'0:02.876';0.395;0.15
'0:02.880';0.455;0.06
'0:02.884';0.265;0.34
'0:02.888';0.86;0.485
'0:02.892';1.715;-0.19
'0:02.896';1.525;-0.975
'0:02.900';0.3;-1.31
'0:02.904';-0.325;-1.49
'0:02.908';-0.125;-1.82
'0:02.912';-0.47;-2.03
'0:02.916';-1.28;-2.39
'0:02.920';-1.255;-2.445
'0:02.924';-0.38;-2.065
'0:02.928';-0.14;-1.635
'0:02.932';-0.64;-1.22
'0:02.936';-0.715;-0.735
'0:02.940';-0.135;-0.365
'0:02.944';0.06;-0.265
'0:02.948';-0.535;-0.24
'0:02.952';-0.82;-0.18
'0:02.956';-0.24;-0.16
'0:02.960';0.07;-0.22
'0:02.964';-0.49;-0.235
'0:02.968';-0.79;-0.16
'0:02.972';-0.26;-0.155
'0:02.976';0.04;-0.22
'0:02.980';-0.51;-0.205
'0:02.984';-0.79;-0.16
'0:02.988';-0.245;-0.15
'0:02.992';0.09;-0.18
'0:02.996';-0.43;-0.195
'0:03.000';-0.78;-0.14
'0:03.004';-0.27;-0.11
'0:03.008';0.11;-0.18
'0:03.012';-0.395;-0.19
'0:03.016';-0.825;-0.13
'0:03.020';-0.335;-0.045
'0:03.024';0.145;-0.155
'0:03.028';-0.235;-0.165
'0:03.032';-0.77;-0.07
'0:03.036';-0.415;-0.035
'0:03.040';0.15;-0.105
'0:03.044';-0.11;-0.14
'0:03.048';-0.73;-0.065
'0:03.052';-0.56;0.01
'0:03.056';0.095;-0.025
'0:03.060';0.03;-0.03
'0:03.064';-0.595;0.02
'0:03.068';-0.59;0.08
'0:03.072';0.07;0.065
'0:03.076';0.13;0.05
'0:03.080';-0.52;0.075
'0:03.084';-0.63;0.195
'0:03.088';0.005;0.205
'0:03.092';0.165;0.17
'0:03.096';-0.425;0.16
'0:03.100';-0.555;0.3
'0:03.104';0.05;0.34
'0:03.108';0.275;0.295
'0:03.112';-0.28;0.36
'0:03.116';-0.505;0.375
'0:03.120';0.075;0.445
'0:03.124';0.355;0.36
'0:03.128';-0.19;0.365
'0:03.132';-0.51;0.425
'0:03.136';0.02;0.465
'0:03.140';0.415;0.39
'0:03.144';-0.025;0.395
'0:03.148';-0.47;0.44
'0:03.152';-0.04;0.475
'0:03.156';0.495;0.41
'0:03.160';0.15;0.36
'0:03.164';-0.445;0.405
'0:03.168';-0.2;0.445
'0:03.172';0.4;0.38
'0:03.176';0.22;0.27
'0:03.180';-0.42;0.265
'0:03.184';-0.39;0.295
'0:03.188';0.23;0.22
'0:03.192';0.245;0.125
'0:03.196';-0.41;0.12
'0:03.200';-0.55;0.16
'0:03.204';0.05;0.11
'0:03.208';0.195;0
'0:03.212';-0.43;-0.04
'0:03.216';-0.645;0.01
'0:03.220';-0.04;0.005
'0:03.224';0.2;-0.1
'0:03.228';-0.4;-0.14
'0:03.232';-0.665;-0.1
'0:03.236';-0.12;-0.1
'0:03.240';0.18;-0.17
'0:03.244';-0.375;-0.175
'0:03.248';-0.745;-0.17
'0:03.252';-0.215;-0.155
'0:03.256';0.18;-0.225
'0:03.260';-0.26;-0.225
'0:03.264';-0.72;-0.175
'0:03.268';-0.285;-0.125
'0:03.272';0.22;-0.205
'0:03.276';-0.135;-0.24
'0:03.280';-0.695;-0.18
'0:03.284';-0.45;-0.15
'0:03.288';0.18;-0.2
'0:03.292';0.05;-0.25
'0:03.296';-0.6;-0.205
'0:03.300';-0.625;-0.145
'0:03.304';0.055;-0.18
'0:03.308';0.15;-0.24
'0:03.312';-0.475;-0.235
'0:03.316';-0.635;-0.165
'0:03.320';-0.015;-0.18
'0:03.324';0.175;-0.235
'0:03.328';-0.41;-0.25
'0:03.332';-0.685;-0.15
'0:03.336';-0.08;-0.155
'0:03.340';0.225;-0.195
'0:03.344';-0.305;-0.235
'0:03.348';-0.71;-0.18
'0:03.352';-0.195;-0.145
'0:03.356';0.2;-0.215
'0:03.360';-0.24;-0.245
'0:03.364';-0.715;-0.21
'0:03.368';-0.33;-0.16
'0:03.372';0.17;-0.215
'0:03.376';-0.215;-0.25
'0:03.380';-0.73;-0.21
'0:03.384';-0.39;-0.195
'0:03.388';0.2;-0.235
'0:03.392';-0.045;-0.31
'0:03.396';-0.68;-0.285
'0:03.400';-0.51;-0.23
'0:03.404';0.11;-0.21
'0:03.408';0.055;-0.32
'0:03.412';-0.605;-0.28
'0:03.416';-0.645;-0.23
'0:03.420';0.025;-0.24
'0:03.424';0.15;-0.315
