'Elapsed time';'ECG1';'ECG2'
'3:05:01.484';-0.25;0.095
'3:05:01.488';-0.34;0.08
'3:05:01.492';-0.44;0.075
'3:05:01.496';-0.375;0.09
'3:05:01.500';-0.3;0.075
'3:05:01.504';-0.395;0.015
'3:05:01.508';-0.46;0.015
'3:05:01.512';-0.35;0.025
'3:05:01.516';-0.27;0.075
'3:05:01.520';-0.375;0.065
'3:05:01.524';-0.44;0.05
'3:05:01.528';-0.385;0.075
'3:05:01.532';-0.305;0.075
'3:05:01.536';-0.36;0.05
'3:05:01.540';-0.405;0.02
'3:05:01.544';-0.395;0.03
'3:05:01.548';-0.305;0.04
'3:05:01.552';-0.34;0.035
'3:05:01.556';-0.43;0.055
'3:05:01.560';-0.405;0.055
'3:05:01.564';-0.28;0.04
'3:05:01.568';-0.3;0.045
'3:05:01.572';-0.415;0.05
'3:05:01.576';-0.39;0.09
'3:05:01.580';-0.245;0.065
'3:05:01.584';-0.245;0.065
'3:05:01.588';-0.33;0.02
'3:05:01.592';-0.255;0.025
'3:05:01.596';-0.11;0.035
'3:05:01.600';-0.06;0.105
'3:05:01.604';-0.18;0.14
'3:05:01.608';-0.135;0.17
'3:05:01.612';0.025;0.205
'3:05:01.616';0.08;0.225
'3:05:01.620';-0.055;0.24
'3:05:01.624';-0.145;0.225
'3:05:01.628';-0.06;0.28
'3:05:01.632';-0.025;0.245
'3:05:01.636';-0.18;0.185
'3:05:01.640';-0.25;0.175
'3:05:01.644';-0.14;0.21
'3:05:01.648';-0.11;0.125
'3:05:01.652';-0.195;0.05
'3:05:01.656';-0.285;0.015
'3:05:01.660';-0.245;0
'3:05:01.664';-0.24;0.015
'3:05:01.668';-0.37;0.045
'3:05:01.672';-0.47;0.015
'3:05:01.676';-0.4;0.045
'3:05:01.680';-0.35;0.075
'3:05:01.684';-0.44;0.035
'3:05:01.688';-0.515;0
'3:05:01.692';-0.445;-0.01
'3:05:01.696';-0.345;-0.04
'3:05:01.700';-0.415;-0.025
'3:05:01.704';-0.505;0.015
'3:05:01.708';-0.41;0.025
'3:05:01.712';-0.32;0.025
'3:05:01.716';-0.37;-0.015
'3:05:01.720';-0.465;-0.005
'3:05:01.724';-0.45;0.01
'3:05:01.728';-0.405;0.005
'3:05:01.732';-0.44;0
'3:05:01.736';-0.42;0.03
'3:05:01.740';-0.135;0.13
'3:05:01.744';0.29;0.32
'3:05:01.748';0.65;0.44
'3:05:01.752';0.98;0.51
'3:05:01.756';1.37;0.6
'3:05:01.760';1.495;0.785
'3:05:01.764';1.11;0.77
'3:05:01.768';0.325;0.235
'3:05:01.772';-0.23;-0.46
'3:05:01.776';-0.55;-0.975
'3:05:01.780';-0.77;-1.27
'3:05:01.784';-0.91;-1.575
'3:05:01.788';-0.805;-1.8
'3:05:01.792';-0.555;-1.935
'3:05:01.796';-0.41;-1.95
'3:05:01.800';-0.46;-1.65
'3:05:01.804';-0.44;-1.195
'3:05:01.808';-0.335;-0.795
'3:05:01.812';-0.295;-0.485
'3:05:01.816';-0.405;-0.245
'3:05:01.820';-0.455;-0.08
'3:05:01.824';-0.345;0.035
'3:05:01.828';-0.3;0.05
'3:05:01.832';-0.4;0.095
'3:05:01.836';-0.455;0.125
'3:05:01.840';-0.355;0.145
'3:05:01.844';-0.325;0.145
'3:05:01.848';-0.415;0.13
'3:05:01.852';-0.46;0.13
'3:05:01.856';-0.345;0.16
'3:05:01.860';-0.28;0.135
'3:05:01.864';-0.375;0.145
'3:05:01.868';-0.455;0.19
'3:05:01.872';-0.37;0.21
'3:05:01.876';-0.29;0.185
'3:05:01.880';-0.365;0.155
'3:05:01.884';-0.45;0.205
'3:05:01.888';-0.38;0.195
'3:05:01.892';-0.255;0.195
'3:05:01.896';-0.3;0.195
'3:05:01.900';-0.395;0.215
'3:05:01.904';-0.335;0.255
'3:05:01.908';-0.265;0.28
'3:05:01.912';-0.265;0.23
'3:05:01.916';-0.345;0.255
'3:05:01.920';-0.26;0.275
'3:05:01.924';-0.135;0.29
'3:05:01.928';-0.175;0.31
'3:05:01.932';-0.255;0.365
'3:05:01.936';-0.22;0.42
'3:05:01.940';-0.115;0.38
'3:05:01.944';-0.06;0.335
'3:05:01.948';-0.14;0.365
'3:05:01.952';-0.105;0.465
'3:05:01.956';0.03;0.53
'3:05:01.960';0.05;0.54
'3:05:01.964';-0.045;0.545
'3:05:01.968';-0.015;0.585
'3:05:01.972';0.1;0.66
'3:05:01.976';0.155;0.635
'3:05:01.980';0.08;0.645
'3:05:01.984';0.09;0.715
'3:05:01.988';0.21;0.75
'3:05:01.992';0.245;0.75
'3:05:01.996';0.165;0.785
'3:05:02.000';0.13;0.81
'3:05:02.004';0.19;0.835
'3:05:02.008';0.275;0.82
'3:05:02.012';0.145;0.77
'3:05:02.016';0.065;0.785
'3:05:02.020';0.11;0.79
'3:05:02.024';0.135;0.785
'3:05:02.028';0.03;0.745
'3:05:02.032';-0.095;0.705
'3:05:02.036';-0.06;0.69
'3:05:02.040';-0.02;0.63
'3:05:02.044';-0.14;0.61
'3:05:02.048';-0.27;0.55
'3:05:02.052';-0.185;0.485
'3:05:02.056';-0.12;0.44
'3:05:02.060';-0.25;0.365
'3:05:02.064';-0.37;0.35
'3:05:02.068';-0.31;0.305
'3:05:02.072';-0.255;0.24
'3:05:02.076';-0.315;0.15
'3:05:02.080';-0.415;0.125
'3:05:02.084';-0.38;0.145
'3:05:02.088';-0.275;0.12
'3:05:02.092';-0.31;0.08
'3:05:02.096';-0.45;0.1
'3:05:02.100';-0.425;0.13
'3:05:02.104';-0.33;0.125
'3:05:02.108';-0.34;0.07
'3:05:02.112';-0.425;0.05
'3:05:02.116';-0.4;0.04
'3:05:02.120';-0.295;0.08
'3:05:02.124';-0.305;0.055
'3:05:02.128';-0.39;0.07
'3:05:02.132';-0.345;0.115
'3:05:02.136';-0.21;0.13
'3:05:02.140';-0.16;0.095
'3:05:02.144';-0.23;0.12
'3:05:02.148';-0.245;0.1
'3:05:02.152';-0.16;0.09
'3:05:02.156';-0.18;0.115
'3:05:02.160';-0.36;0.175
'3:05:02.164';-0.4;0.305
'3:05:02.168';-0.345;0.545
'3:05:02.172';-0.545;0.785
'3:05:02.176';-1;0.95
'3:05:02.180';-1.215;0.935
'3:05:02.184';-1.215;0.415
'3:05:02.188';-1.22;-0.62
'3:05:02.192';-1.32;-1.665
'3:05:02.196';-1.355;-2.36
'3:05:02.200';-1.185;-3.025
'3:05:02.204';-1.015;-3.67
'3:05:02.208';-0.96;-4.19
'3:05:02.212';-0.98;-4.445
'3:05:02.216';-1;-4.415
'3:05:02.220';-1.045;-4.26
'3:05:02.224';-1.235;-3.87
'3:05:02.228';-1.385;-3.355
'3:05:02.232';-1.335;-2.92
'3:05:02.236';-1.24;-2.615
'3:05:02.240';-1.225;-2.38
'3:05:02.244';-1.25;-2.065
'3:05:02.248';-1.035;-1.785
'3:05:02.252';-0.79;-1.55
'3:05:02.256';-0.68;-1.405
'3:05:02.260';-0.66;-1.15
'3:05:02.264';-0.5;-0.895
'3:05:02.268';-0.3;-0.695
'3:05:02.272';-0.265;-0.48
'3:05:02.276';-0.34;-0.24
'3:05:02.280';-0.27;-0.03
'3:05:02.284';-0.12;0.1
'3:05:02.288';-0.12;0.175
'3:05:02.292';-0.2;0.285
'3:05:02.296';-0.205;0.38
'3:05:02.300';-0.045;0.405
'3:05:02.304';-0.02;0.445
'3:05:02.308';-0.12;0.495
'3:05:02.312';-0.115;0.555
'3:05:02.316';0.05;0.575
'3:05:02.320';0.055;0.61
'3:05:02.324';-0.005;0.645
'3:05:02.328';0.055;0.69
'3:05:02.332';0.24;0.72
'3:05:02.336';0.335;0.745
'3:05:02.340';0.285;0.775
'3:05:02.344';0.295;0.875
'3:05:02.348';0.51;0.91
'3:05:02.352';0.615;1
'3:05:02.356';0.555;1.07
'3:05:02.360';0.6;1.17
'3:05:02.364';0.78;1.275
'3:05:02.368';0.89;1.34
'3:05:02.372';0.835;1.39
'3:05:02.376';0.815;1.515
'3:05:02.380';0.92;1.61
'3:05:02.384';1.015;1.66
'3:05:02.388';0.95;1.695
'3:05:02.392';0.87;1.83
'3:05:02.396';0.975;1.835
'3:05:02.400';1.085;1.775
'3:05:02.404';1.02;1.795
'3:05:02.408';0.925;1.91
'3:05:02.412';0.925;2.025
'3:05:02.416';0.97;2.11
'3:05:02.420';0.865;2.175
'3:05:02.424';0.76;2.175
'3:05:02.428';0.715;2.245
'3:05:02.432';0.775;2.255
'3:05:02.436';0.665;2.22
'3:05:02.440';0.515;2.21
'3:05:02.444';0.49;2.155
'3:05:02.448';0.52;2.065
'3:05:02.452';0.455;1.93
'3:05:02.456';0.28;1.875
'3:05:02.460';0.225;1.78
'3:05:02.464';0.27;1.65
'3:05:02.468';0.215;1.5
'3:05:02.472';0.015;1.375
'3:05:02.476';-0.025;1.275
'3:05:02.480';0.035;1.2
'3:05:02.484';-0.005;1.025
'3:05:02.488';-0.15;0.94
'3:05:02.492';-0.21;0.885
'3:05:02.496';-0.16;0.795
'3:05:02.500';-0.135;0.67
'3:05:02.504';-0.25;0.615
'3:05:02.508';-0.345;0.605
'3:05:02.512';-0.275;0.555
'3:05:02.516';-0.21;0.49
'3:05:02.520';-0.32;0.395
'3:05:02.524';-0.44;0.395
'3:05:02.528';-0.34;0.39
'3:05:02.532';-0.28;0.335
'3:05:02.536';-0.34;0.26
'3:05:02.540';-0.47;0.23
'3:05:02.544';-0.41;0.22
'3:05:02.548';-0.31;0.185
'3:05:02.552';-0.355;0.165
'3:05:02.556';-0.465;0.18
'3:05:02.560';-0.435;0.155
'3:05:02.564';-0.35;0.17
'3:05:02.568';-0.37;0.135
'3:05:02.572';-0.465;0.105
'3:05:02.576';-0.47;0.105
'3:05:02.580';-0.355;0.085
'3:05:02.584';-0.36;0.05
'3:05:02.588';-0.46;0.05
'3:05:02.592';-0.455;0.095
'3:05:02.596';-0.37;0.08
'3:05:02.600';-0.345;0.105
'3:05:02.604';-0.46;0.085
'3:05:02.608';-0.485;0.085
'3:05:02.612';-0.36;0.075
'3:05:02.616';-0.305;0.045
'3:05:02.620';-0.39;0.045
'3:05:02.624';-0.41;0.055
'3:05:02.628';-0.345;0.09
'3:05:02.632';-0.3;0.055
'3:05:02.636';-0.39;0.065
'3:05:02.640';-0.44;0.085
'3:05:02.644';-0.36;0.115
'3:05:02.648';-0.29;0.1
'3:05:02.652';-0.38;0.07
'3:05:02.656';-0.45;0.065
'3:05:02.660';-0.345;0.105
'3:05:02.664';-0.285;0.075
'3:05:02.668';-0.38;0.025
'3:05:02.672';-0.445;0.04
'3:05:02.676';-0.385;0.065
'3:05:02.680';-0.3;0.06
'3:05:02.684';-0.39;0.06
'3:05:02.688';-0.46;0.05
'3:05:02.692';-0.375;0.09
'3:05:02.696';-0.295;0.05
'3:05:02.700';-0.33;0.035
'3:05:02.704';-0.425;0.06
'3:05:02.708';-0.385;0.075
'3:05:02.712';-0.285;0.085
'3:05:02.716';-0.325;0.07
'3:05:02.720';-0.4;0.075
'3:05:02.724';-0.37;0.1
'3:05:02.728';-0.27;0.085
'3:05:02.732';-0.285;0.085
'3:05:02.736';-0.365;0.085
'3:05:02.740';-0.4;0.075
'3:05:02.744';-0.29;0.065
'3:05:02.748';-0.28;0.09
'3:05:02.752';-0.37;0.075
'3:05:02.756';-0.41;0.085
'3:05:02.760';-0.29;0.09
'3:05:02.764';-0.27;0.1
'3:05:02.768';-0.375;0.075
'3:05:02.772';-0.41;0.05
'3:05:02.776';-0.28;0.08
'3:05:02.780';-0.245;0.07
'3:05:02.784';-0.315;0.06
'3:05:02.788';-0.415;0.045
'3:05:02.792';-0.32;0.085
'3:05:02.796';-0.27;0.06
'3:05:02.800';-0.35;0.04
'3:05:02.804';-0.42;0.055
'3:05:02.808';-0.33;0.095
'3:05:02.812';-0.245;0.095
'3:05:02.816';-0.29;0.02
'3:05:02.820';-0.37;0.055
'3:05:02.824';-0.315;0.105
'3:05:02.828';-0.255;0.07
'3:05:02.832';-0.27;0.08
'3:05:02.836';-0.38;0.06
'3:05:02.840';-0.325;0.12
'3:05:02.844';-0.225;0.1
'3:05:02.848';-0.29;0.11
'3:05:02.852';-0.365;0.08
'3:05:02.856';-0.315;0.065
'3:05:02.860';-0.21;0.07
'3:05:02.864';-0.245;0.055
'3:05:02.868';-0.36;0.03
'3:05:02.872';-0.36;0.065
'3:05:02.876';-0.255;0.09
'3:05:02.880';-0.245;0.05
'3:05:02.884';-0.355;0.07
'3:05:02.888';-0.37;0.095
'3:05:02.892';-0.25;0.095
'3:05:02.896';-0.225;0.07
'3:05:02.900';-0.335;0.06
'3:05:02.904';-0.37;0.06
'3:05:02.908';-0.245;0.07
'3:05:02.912';-0.215;0.085
'3:05:02.916';-0.335;0.075
'3:05:02.920';-0.38;0.09
'3:05:02.924';-0.275;0.145
'3:05:02.928';-0.195;0.13
'3:05:02.932';-0.265;0.075
'3:05:02.936';-0.365;0.065
'3:05:02.940';-0.28;0.08
'3:05:02.944';-0.22;0.11
'3:05:02.948';-0.26;0.07
'3:05:02.952';-0.36;0.095
'3:05:02.956';-0.315;0.16
'3:05:02.960';-0.215;0.08
'3:05:02.964';-0.275;0.065
'3:05:02.968';-0.365;0.05
'3:05:02.972';-0.29;0.07
'3:05:02.976';-0.21;0.07
'3:05:02.980';-0.255;0.03
'3:05:02.984';-0.35;0.035
'3:05:02.988';-0.33;0.075
'3:05:02.992';-0.21;0.07
'3:05:02.996';-0.255;0.08
'3:05:03.000';-0.355;0.08
'3:05:03.004';-0.355;0.1
'3:05:03.008';-0.21;0.055
'3:05:03.012';-0.255;0.1
'3:05:03.016';-0.34;0.05
'3:05:03.020';-0.36;0.06
'3:05:03.024';-0.2;0.045
'3:05:03.028';-0.18;0.05
'3:05:03.032';-0.28;0.04
'3:05:03.036';-0.345;0.075
'3:05:03.040';-0.235;0.075
'3:05:03.044';-0.215;0.075
'3:05:03.048';-0.275;0.05
'3:05:03.052';-0.34;0.08
'3:05:03.056';-0.26;0.1
'3:05:03.060';-0.2;0.09
'3:05:03.064';-0.295;0.1
'3:05:03.068';-0.36;0.12
'3:05:03.072';-0.24;0.025
'3:05:03.076';-0.175;-0.005
'3:05:03.080';-0.215;0.01
'3:05:03.084';-0.225;0.055
'3:05:03.088';-0.105;0.085
'3:05:03.092';0.015;0.085
'3:05:03.096';0.005;0.08
'3:05:03.100';-0.105;0.13
'3:05:03.104';-0.02;0.195
'3:05:03.108';0.09;0.215
