'Time';'ECG1';'ECG2'
'[20:00:00.484]';-0.28;-0.24
'[20:00:00.488]';-0.275;-0.22
'[20:00:00.492]';-0.255;-0.22
'[20:00:00.496]';-0.225;-0.23
'[20:00:00.500]';-0.195;-0.21
'[20:00:00.504]';-0.21;-0.24
'[20:00:00.508]';-0.22;-0.235
'[20:00:00.512]';-0.23;-0.22
'[20:00:00.516]';-0.21;-0.215
'[20:00:00.520]';-0.23;-0.19
'[20:00:00.524]';-0.195;-0.185
'[20:00:00.528]';-0.205;-0.165
'[20:00:00.532]';-0.205;-0.18
'[20:00:00.536]';-0.18;-0.17
'[20:00:00.540]';-0.185;-0.165
'[20:00:00.544]';-0.175;-0.165
'[20:00:00.548]';-0.18;-0.15
'[20:00:00.552]';-0.18;-0.16
'[20:00:00.556]';-0.19;-0.16
'[20:00:00.560]';-0.165;-0.16
'[20:00:00.564]';-0.13;-0.17
'[20:00:00.568]';-0.145;-0.15
'[20:00:00.572]';-0.16;-0.165
'[20:00:00.576]';-0.165;-0.17
'[20:00:00.580]';-0.16;-0.135
'[20:00:00.584]';-0.16;-0.155
'[20:00:00.588]';-0.14;-0.135
'[20:00:00.592]';-0.13;-0.11
'[20:00:00.596]';-0.12;-0.105
'[20:00:00.600]';-0.145;-0.09
'[20:00:00.604]';-0.14;-0.07
'[20:00:00.608]';-0.175;-0.105
'[20:00:00.612]';-0.15;-0.09
'[20:00:00.616]';-0.135;-0.1
'[20:00:00.620]';-0.14;-0.075
'[20:00:00.624]';-0.145;-0.07
'[20:00:00.628]';-0.13;-0.105
'[20:00:00.632]';-0.105;-0.115
'[20:00:00.636]';-0.135;-0.12
'[20:00:00.640]';-0.13;-0.135
'[20:00:00.644]';-0.145;-0.16
'[20:00:00.648]';-0.135;-0.145
'[20:00:00.652]';-0.155;-0.15
'[20:00:00.656]';-0.15;-0.15
'[20:00:00.660]';-0.165;-0.175
'[20:00:00.664]';-0.145;-0.155
'[20:00:00.668]';-0.19;-0.19
'[20:00:00.672]';-0.155;-0.195
'[20:00:00.676]';-0.19;-0.2
'[20:00:00.680]';-0.2;-0.245
'[20:00:00.684]';-0.215;-0.26
'[20:00:00.688]';-0.2;-0.27
'[20:00:00.692]';-0.205;-0.295
'[20:00:00.696]';-0.21;-0.315
'[20:00:00.700]';-0.255;-0.305
'[20:00:00.704]';-0.26;-0.28
'[20:00:00.708]';-0.295;-0.27
'[20:00:00.712]';-0.295;-0.3
'[20:00:00.716]';-0.32;-0.275
'[20:00:00.720]';-0.315;-0.27
'[20:00:00.724]';-0.335;-0.25
'[20:00:00.728]';-0.345;-0.255
'[20:00:00.732]';-0.315;-0.21
'[20:00:00.736]';-0.36;-0.2
'[20:00:00.740]';-0.355;-0.21
'[20:00:00.744]';-0.37;-0.22
'[20:00:00.748]';-0.355;-0.22
'[20:00:00.752]';-0.365;-0.235
'[20:00:00.756]';-0.345;-0.22
'[20:00:00.760]';-0.38;-0.27
'[20:00:00.764]';-0.325;-0.26
'[20:00:00.768]';-0.34;-0.28
'[20:00:00.772]';-0.345;-0.29
'[20:00:00.776]';-0.335;-0.3
'[20:00:00.780]';-0.335;-0.27
'[20:00:00.784]';-0.33;-0.26
'[20:00:00.788]';-0.28;-0.235
'[20:00:00.792]';-0.27;-0.24
'[20:00:00.796]';-0.28;-0.225
'[20:00:00.800]';-0.305;-0.22
'[20:00:00.804]';-0.265;-0.23
'[20:00:00.808]';-0.255;-0.25
'[20:00:00.812]';-0.275;-0.235
'[20:00:00.816]';-0.245;-0.215
'[20:00:00.820]';-0.25;-0.24
'[20:00:00.824]';-0.245;-0.22
'[20:00:00.828]';-0.235;-0.24
'[20:00:00.832]';-0.25;-0.23
'[20:00:00.836]';-0.24;-0.23
'[20:00:00.840]';-0.24;-0.22
'[20:00:00.844]';-0.24;-0.22
'[20:00:00.848]';-0.255;-0.205
'[20:00:00.852]';-0.275;-0.17
'[20:00:00.856]';-0.245;-0.21
'[20:00:00.860]';-0.25;-0.21
'[20:00:00.864]';-0.265;-0.175
'[20:00:00.868]';-0.24;-0.215
'[20:00:00.872]';-0.265;-0.195
'[20:00:00.876]';-0.24;-0.2
'[20:00:00.880]';-0.26;-0.185
'[20:00:00.884]';-0.255;-0.23
'[20:00:00.888]';-0.245;-0.235
'[20:00:00.892]';-0.255;-0.245
'[20:00:00.896]';-0.24;-0.24
'[20:00:00.900]';-0.255;-0.255
'[20:00:00.904]';-0.275;-0.23
'[20:00:00.908]';-0.26;-0.245
'[20:00:00.912]';-0.255;-0.25
'[20:00:00.916]';-0.265;-0.235
'[20:00:00.920]';-0.24;-0.21
'[20:00:00.924]';-0.26;-0.22
'[20:00:00.928]';-0.265;-0.24
'[20:00:00.932]';-0.26;-0.25
'[20:00:00.936]';-0.24;-0.26
'[20:00:00.940]';-0.255;-0.26
'[20:00:00.944]';-0.25;-0.265
'[20:00:00.948]';-0.24;-0.26
'[20:00:00.952]';-0.235;-0.285
'[20:00:00.956]';-0.235;-0.26
'[20:00:00.960]';-0.24;-0.3
'[20:00:00.964]';-0.22;-0.28
'[20:00:00.968]';-0.24;-0.26
'[20:00:00.972]';-0.22;-0.28
'[20:00:00.976]';-0.235;-0.265
'[20:00:00.980]';-0.215;-0.245
'[20:00:00.984]';-0.215;-0.27
'[20:00:00.988]';-0.2;-0.285
'[20:00:00.992]';-0.21;-0.255
'[20:00:00.996]';-0.2;-0.245
'[20:00:01.000]';-0.23;-0.26
'[20:00:01.004]';-0.25;-0.27
'[20:00:01.008]';-0.22;-0.275
'[20:00:01.012]';-0.215;-0.28
'[20:00:01.016]';-0.185;-0.27
'[20:00:01.020]';-0.205;-0.27
'[20:00:01.024]';-0.19;-0.285
'[20:00:01.028]';-0.22;-0.28
'[20:00:01.032]';-0.21;-0.285
'[20:00:01.036]';-0.19;-0.28
'[20:00:01.040]';-0.195;-0.275
'[20:00:01.044]';-0.19;-0.275
'[20:00:01.048]';-0.18;-0.25
'[20:00:01.052]';-0.205;-0.225
'[20:00:01.056]';-0.195;-0.24
'[20:00:01.060]';-0.195;-0.245
'[20:00:01.064]';-0.19;-0.24
'[20:00:01.068]';-0.2;-0.24
'[20:00:01.072]';-0.21;-0.26
'[20:00:01.076]';-0.17;-0.255
'[20:00:01.080]';-0.18;-0.245
'[20:00:01.084]';-0.145;-0.24
'[20:00:01.088]';-0.195;-0.26
'[20:00:01.092]';-0.17;-0.235
'[20:00:01.096]';-0.16;-0.24
'[20:00:01.100]';-0.145;-0.225
'[20:00:01.104]';-0.12;-0.21
'[20:00:01.108]';-0.14;-0.19
'[20:00:01.112]';-0.145;-0.145
'[20:00:01.116]';-0.16;-0.155
'[20:00:01.120]';-0.15;-0.16
'[20:00:01.124]';-0.19;-0.155
'[20:00:01.128]';-0.18;-0.15
'[20:00:01.132]';-0.18;-0.145
'[20:00:01.136]';-0.17;-0.16
'[20:00:01.140]';-0.19;-0.15
'[20:00:01.144]';-0.165;-0.135
'[20:00:01.148]';-0.155;-0.14
'[20:00:01.152]';-0.17;-0.15
'[20:00:01.156]';-0.175;-0.18
'[20:00:01.160]';-0.185;-0.215
'[20:00:01.164]';-0.18;-0.24
'[20:00:01.168]';-0.225;-0.265
'[20:00:01.172]';-0.19;-0.295
'[20:00:01.176]';-0.2;-0.3
'[20:00:01.180]';-0.175;-0.285
'[20:00:01.184]';-0.16;-0.285
'[20:00:01.188]';-0.165;-0.285
'[20:00:01.192]';-0.19;-0.275
'[20:00:01.196]';-0.18;-0.265
'[20:00:01.200]';-0.19;-0.275
'[20:00:01.204]';-0.2;-0.28
'[20:00:01.208]';-0.18;-0.285
'[20:00:01.212]';-0.16;-0.305
'[20:00:01.216]';-0.215;-0.29
'[20:00:01.220]';-0.175;-0.31
'[20:00:01.224]';-0.2;-0.34
'[20:00:01.228]';-0.18;-0.38
'[20:00:01.232]';-0.19;-0.27
'[20:00:01.236]';-0.18;0.04
'[20:00:01.240]';-0.22;0.525
'[20:00:01.244]';-0.175;1.05
'[20:00:01.248]';-0.165;1.455
'[20:00:01.252]';-0.255;1.595
'[20:00:01.256]';-0.435;1.325
'[20:00:01.260]';-0.595;0.84
'[20:00:01.264]';-0.735;0.23
'[20:00:01.268]';-0.875;-0.365
'[20:00:01.272]';-1.035;-0.81
'[20:00:01.276]';-1.095;-1.05
'[20:00:01.280]';-1.105;-1.07
'[20:00:01.284]';-0.88;-0.935
'[20:00:01.288]';-0.46;-0.75
'[20:00:01.292]';-0.055;-0.56
'[20:00:01.296]';0.115;-0.385
'[20:00:01.300]';0.125;-0.305
'[20:00:01.304]';0.015;-0.26
'[20:00:01.308]';-0.09;-0.19
'[20:00:01.312]';-0.16;-0.155
'[20:00:01.316]';-0.2;-0.175
'[20:00:01.320]';-0.19;-0.175
'[20:00:01.324]';-0.145;-0.14
'[20:00:01.328]';-0.14;-0.155
'[20:00:01.332]';-0.12;-0.15
'[20:00:01.336]';-0.115;-0.145
'[20:00:01.340]';-0.11;-0.145
'[20:00:01.344]';-0.115;-0.15
'[20:00:01.348]';-0.08;-0.145
'[20:00:01.352]';-0.105;-0.165
'[20:00:01.356]';-0.09;-0.145
'[20:00:01.360]';-0.075;-0.135
'[20:00:01.364]';-0.09;-0.14
'[20:00:01.368]';-0.11;-0.155
'[20:00:01.372]';-0.115;-0.13
'[20:00:01.376]';-0.08;-0.095
'[20:00:01.380]';-0.115;-0.095
'[20:00:01.384]';-0.09;-0.09
'[20:00:01.388]';-0.08;-0.085
'[20:00:01.392]';-0.09;-0.105
'[20:00:01.396]';-0.09;-0.105
'[20:00:01.400]';-0.065;-0.095
'[20:00:01.404]';-0.075;-0.11
'[20:00:01.408]';-0.06;-0.08
'[20:00:01.412]';-0.06;-0.105
'[20:00:01.416]';-0.045;-0.075
'[20:00:01.420]';-0.045;-0.095
'[20:00:01.424]';-0.045;-0.09
'[20:00:01.428]';-0.085;-0.105
'[20:00:01.432]';-0.055;-0.08
'[20:00:01.436]';-0.05;-0.06
'[20:00:01.440]';-0.045;-0.055
'[20:00:01.444]';-0.09;-0.035
'[20:00:01.448]';-0.03;-0.06
'[20:00:01.452]';-0.055;-0.065
'[20:00:01.456]';-0.07;-0.06
'[20:00:01.460]';-0.055;-0.055
'[20:00:01.464]';-0.03;-0.06
'[20:00:01.468]';-0.025;-0.075
'[20:00:01.472]';-0.045;-0.095
'[20:00:01.476]';-0.08;-0.08
'[20:00:01.480]';-0.03;-0.09
'[20:00:01.484]';-0.04;-0.1
'[20:00:01.488]';-0.06;-0.115
'[20:00:01.492]';-0.065;-0.11
'[20:00:01.496]';-0.065;-0.13
'[20:00:01.500]';-0.095;-0.125
'[20:00:01.504]';-0.105;-0.115
'[20:00:01.508]';-0.125;-0.15
'[20:00:01.512]';-0.13;-0.155
'[20:00:01.516]';-0.11;-0.2
'[20:00:01.520]';-0.145;-0.205
'[20:00:01.524]';-0.15;-0.225
'[20:00:01.528]';-0.16;-0.225
'[20:00:01.532]';-0.195;-0.245
'[20:00:01.536]';-0.195;-0.265
'[20:00:01.540]';-0.175;-0.285
'[20:00:01.544]';-0.22;-0.27
'[20:00:01.548]';-0.22;-0.265
'[20:00:01.552]';-0.215;-0.24
'[20:00:01.556]';-0.23;-0.25
'[20:00:01.560]';-0.28;-0.215
'[20:00:01.564]';-0.265;-0.215
'[20:00:01.568]';-0.275;-0.2
'[20:00:01.572]';-0.26;-0.2
'[20:00:01.576]';-0.295;-0.205
'[20:00:01.580]';-0.31;-0.22
'[20:00:01.584]';-0.315;-0.215
'[20:00:01.588]';-0.315;-0.195
'[20:00:01.592]';-0.3;-0.225
'[20:00:01.596]';-0.32;-0.25
'[20:00:01.600]';-0.285;-0.225
'[20:00:01.604]';-0.29;-0.26
'[20:00:01.608]';-0.285;-0.265
'[20:00:01.612]';-0.27;-0.26
'[20:00:01.616]';-0.27;-0.27
'[20:00:01.620]';-0.275;-0.26
'[20:00:01.624]';-0.255;-0.255
'[20:00:01.628]';-0.24;-0.245
'[20:00:01.632]';-0.23;-0.225
'[20:00:01.636]';-0.2;-0.195
'[20:00:01.640]';-0.22;-0.22
'[20:00:01.644]';-0.24;-0.24
'[20:00:01.648]';-0.22;-0.21
'[20:00:01.652]';-0.215;-0.225
'[20:00:01.656]';-0.195;-0.215
'[20:00:01.660]';-0.2;-0.215
'[20:00:01.664]';-0.19;-0.23
'[20:00:01.668]';-0.2;-0.22
'[20:00:01.672]';-0.195;-0.2
'[20:00:01.676]';-0.185;-0.22
'[20:00:01.680]';-0.225;-0.205
'[20:00:01.684]';-0.22;-0.18
'[20:00:01.688]';-0.21;-0.195
'[20:00:01.692]';-0.215;-0.165
'[20:00:01.696]';-0.195;-0.155
'[20:00:01.700]';-0.2;-0.165
'[20:00:01.704]';-0.2;-0.18
'[20:00:01.708]';-0.22;-0.21
'[20:00:01.712]';-0.195;-0.21
'[20:00:01.716]';-0.215;-0.19
'[20:00:01.720]';-0.18;-0.22
'[20:00:01.724]';-0.2;-0.23
'[20:00:01.728]';-0.2;-0.205
'[20:00:01.732]';-0.19;-0.21
'[20:00:01.736]';-0.175;-0.225
'[20:00:01.740]';-0.19;-0.245
'[20:00:01.744]';-0.225;-0.235
'[20:00:01.748]';-0.21;-0.235
'[20:00:01.752]';-0.23;-0.235
'[20:00:01.756]';-0.17;-0.24
'[20:00:01.760]';-0.2;-0.23
'[20:00:01.764]';-0.21;-0.245
'[20:00:01.768]';-0.205;-0.225
'[20:00:01.772]';-0.19;-0.24
'[20:00:01.776]';-0.19;-0.26
'[20:00:01.780]';-0.19;-0.275
'[20:00:01.784]';-0.195;-0.255
'[20:00:01.788]';-0.165;-0.26
'[20:00:01.792]';-0.19;-0.265
'[20:00:01.796]';-0.215;-0.29
'[20:00:01.800]';-0.17;-0.265
'[20:00:01.804]';-0.18;-0.275
'[20:00:01.808]';-0.155;-0.27
'[20:00:01.812]';-0.185;-0.26
'[20:00:01.816]';-0.235;-0.255
'[20:00:01.820]';-0.16;-0.245
'[20:00:01.824]';-0.21;-0.25
'[20:00:01.828]';-0.19;-0.24
'[20:00:01.832]';-0.145;-0.225
'[20:00:01.836]';-0.165;-0.24
'[20:00:01.840]';-0.17;-0.245
'[20:00:01.844]';-0.165;-0.24
'[20:00:01.848]';-0.2;-0.265
'[20:00:01.852]';-0.135;-0.265
'[20:00:01.856]';-0.155;-0.3
'[20:00:01.860]';-0.145;-0.295
'[20:00:01.864]';-0.155;-0.265
'[20:00:01.868]';-0.16;-0.28
'[20:00:01.872]';-0.18;-0.275
'[20:00:01.876]';-0.16;-0.265
'[20:00:01.880]';-0.17;-0.285
'[20:00:01.884]';-0.135;-0.28
'[20:00:01.888]';-0.17;-0.265
'[20:00:01.892]';-0.185;-0.235
'[20:00:01.896]';-0.17;-0.265
'[20:00:01.900]';-0.16;-0.255
'[20:00:01.904]';-0.12;-0.26
'[20:00:01.908]';-0.17;-0.23
'[20:00:01.912]';-0.15;-0.24
'[20:00:01.916]';-0.15;-0.24
'[20:00:01.920]';-0.145;-0.255
'[20:00:01.924]';-0.155;-0.25
'[20:00:01.928]';-0.145;-0.255
'[20:00:01.932]';-0.11;-0.255
'[20:00:01.936]';-0.13;-0.225
'[20:00:01.940]';-0.14;-0.205
'[20:00:01.944]';-0.125;-0.16
'[20:00:01.948]';-0.125;-0.145
'[20:00:01.952]';-0.155;-0.145
'[20:00:01.956]';-0.18;-0.145
'[20:00:01.960]';-0.15;-0.15
'[20:00:01.964]';-0.16;-0.135
'[20:00:01.968]';-0.17;-0.15
'[20:00:01.972]';-0.125;-0.15
'[20:00:01.976]';-0.135;-0.135
'[20:00:01.980]';-0.135;-0.145
'[20:00:01.984]';-0.095;-0.16
'[20:00:01.988]';-0.115;-0.185
'[20:00:01.992]';-0.125;-0.25
'[20:00:01.996]';-0.13;-0.275
'[20:00:02.000]';-0.105;-0.3
'[20:00:02.004]';-0.16;-0.31
'[20:00:02.008]';-0.125;-0.315
'[20:00:02.012]';-0.125;-0.305
'[20:00:02.016]';-0.14;-0.285
'[20:00:02.020]';-0.12;-0.295
'[20:00:02.024]';-0.14;-0.3
'[20:00:02.028]';-0.185;-0.28
'[20:00:02.032]';-0.16;-0.28
'[20:00:02.036]';-0.145;-0.33
'[20:00:02.040]';-0.17;-0.275
'[20:00:02.044]';-0.145;-0.28
'[20:00:02.048]';-0.13;-0.255
'[20:00:02.052]';-0.125;-0.32
'[20:00:02.056]';-0.16;-0.355
'[20:00:02.060]';-0.13;-0.36
'[20:00:02.064]';-0.11;-0.18
'[20:00:02.068]';-0.12;0.18
'[20:00:02.072]';-0.135;0.685
'[20:00:02.076]';-0.12;1.205
'[20:00:02.080]';-0.14;1.555
'[20:00:02.084]';-0.25;1.58
'[20:00:02.088]';-0.41;1.235
'[20:00:02.092]';-0.625;0.65
'[20:00:02.096]';-0.72;0.015
'[20:00:02.100]';-0.85;-0.54
'[20:00:02.104]';-1.02;-0.925
'[20:00:02.108]';-1.09;-1.085
'[20:00:02.112]';-1.04;-1.035
'[20:00:02.116]';-0.77;-0.865
'[20:00:02.120]';-0.31;-0.715
'[20:00:02.124]';0.06;-0.495
'[20:00:02.128]';0.21;-0.34
'[20:00:02.132]';0.145;-0.27
'[20:00:02.136]';0.045;-0.245
'[20:00:02.140]';-0.055;-0.215
'[20:00:02.144]';-0.105;-0.19
'[20:00:02.148]';-0.11;-0.18
'[20:00:02.152]';-0.115;-0.155
'[20:00:02.156]';-0.06;-0.155
'[20:00:02.160]';-0.065;-0.17
'[20:00:02.164]';-0.045;-0.15
'[20:00:02.168]';-0.03;-0.165
'[20:00:02.172]';-0.02;-0.16
'[20:00:02.176]';-0.045;-0.135
'[20:00:02.180]';-0.04;-0.105
'[20:00:02.184]';-0.005;-0.16
'[20:00:02.188]';-0.025;-0.13
'[20:00:02.192]';-0.04;-0.115
'[20:00:02.196]';-0.035;-0.145
'[20:00:02.200]';-0.025;-0.14
'[20:00:02.204]';-0.03;-0.14
'[20:00:02.208]';-0.045;-0.125
'[20:00:02.212]';-0.025;-0.11
'[20:00:02.216]';-0.02;-0.08
'[20:00:02.220]';-0.06;-0.115
'[20:00:02.224]';-0.06;-0.1
'[20:00:02.228]';-0.03;-0.115
'[20:00:02.232]';-0.04;-0.115
'[20:00:02.236]';0.01;-0.1
'[20:00:02.240]';-0.03;-0.08
'[20:00:02.244]';0.01;-0.095
'[20:00:02.248]';0.01;-0.085
'[20:00:02.252]';0.035;-0.095
'[20:00:02.256]';-0.01;-0.08
'[20:00:02.260]';-0.005;-0.075
'[20:00:02.264]';0.02;-0.06
'[20:00:02.268]';0;-0.06
'[20:00:02.272]';0;-0.06
'[20:00:02.276]';-0.01;-0.05
'[20:00:02.280]';0;-0.06
'[20:00:02.284]';-0.04;-0.05
'[20:00:02.288]';0.03;-0.03
'[20:00:02.292]';-0.005;-0.05
'[20:00:02.296]';0.015;-0.05
'[20:00:02.300]';0.035;-0.04
'[20:00:02.304]';0.045;-0.055
'[20:00:02.308]';0.01;-0.08
'[20:00:02.312]';0;-0.105
'[20:00:02.316]';-0.005;-0.11
'[20:00:02.320]';-0.035;-0.14
'[20:00:02.324]';-0.03;-0.11
'[20:00:02.328]';-0.05;-0.125
'[20:00:02.332]';-0.025;-0.1
'[20:00:02.336]';-0.045;-0.115
'[20:00:02.340]';-0.04;-0.125
'[20:00:02.344]';-0.065;-0.16
'[20:00:02.348]';-0.075;-0.17
'[20:00:02.352]';-0.11;-0.15
'[20:00:02.356]';-0.13;-0.21
'[20:00:02.360]';-0.125;-0.21
'[20:00:02.364]';-0.13;-0.2
'[20:00:02.368]';-0.14;-0.22
'[20:00:02.372]';-0.16;-0.23
'[20:00:02.376]';-0.19;-0.265
'[20:00:02.380]';-0.195;-0.255
'[20:00:02.384]';-0.195;-0.235
'[20:00:02.388]';-0.22;-0.185
'[20:00:02.392]';-0.245;-0.205
'[20:00:02.396]';-0.27;-0.195
'[20:00:02.400]';-0.28;-0.16
'[20:00:02.404]';-0.25;-0.1
'[20:00:02.408]';-0.275;-0.14
'[20:00:02.412]';-0.28;-0.13
'[20:00:02.416]';-0.3;-0.15
'[20:00:02.420]';-0.3;-0.135
'[20:00:02.424]';-0.3;-0.145
'[20:00:02.428]';-0.28;-0.16
'[20:00:02.432]';-0.3;-0.16
'[20:00:02.436]';-0.285;-0.225
'[20:00:02.440]';-0.26;-0.205
'[20:00:02.444]';-0.245;-0.22
'[20:00:02.448]';-0.22;-0.225
'[20:00:02.452]';-0.22;-0.205
'[20:00:02.456]';-0.22;-0.185
'[20:00:02.460]';-0.23;-0.195
'[20:00:02.464]';-0.225;-0.225
'[20:00:02.468]';-0.235;-0.22
'[20:00:02.472]';-0.185;-0.19
'[20:00:02.476]';-0.17;-0.205
'[20:00:02.480]';-0.185;-0.225
'[20:00:02.484]';-0.205;-0.2
'[20:00:02.488]';-0.175;-0.21
'[20:00:02.492]';-0.17;-0.175
'[20:00:02.496]';-0.17;-0.22
'[20:00:02.500]';-0.195;-0.185
'[20:00:02.504]';-0.2;-0.19
'[20:00:02.508]';-0.17;-0.195
'[20:00:02.512]';-0.19;-0.205
'[20:00:02.516]';-0.185;-0.215
'[20:00:02.520]';-0.185;-0.215
'[20:00:02.524]';-0.195;-0.205
'[20:00:02.528]';-0.225;-0.185
'[20:00:02.532]';-0.195;-0.165
'[20:00:02.536]';-0.2;-0.17
'[20:00:02.540]';-0.19;-0.185
'[20:00:02.544]';-0.215;-0.195
'[20:00:02.548]';-0.205;-0.205
'[20:00:02.552]';-0.225;-0.19
'[20:00:02.556]';-0.215;-0.185
'[20:00:02.560]';-0.21;-0.205
'[20:00:02.564]';-0.22;-0.215
'[20:00:02.568]';-0.2;-0.235
'[20:00:02.572]';-0.215;-0.225
'[20:00:02.576]';-0.2;-0.22
'[20:00:02.580]';-0.2;-0.22
'[20:00:02.584]';-0.215;-0.255
'[20:00:02.588]';-0.245;-0.275
'[20:00:02.592]';-0.21;-0.27
'[20:00:02.596]';-0.22;-0.255
'[20:00:02.600]';-0.22;-0.26
'[20:00:02.604]';-0.195;-0.25
'[20:00:02.608]';-0.22;-0.275
'[20:00:02.612]';-0.24;-0.265
'[20:00:02.616]';-0.235;-0.25
'[20:00:02.620]';-0.245;-0.27
'[20:00:02.624]';-0.2;-0.24
'[20:00:02.628]';-0.19;-0.265
'[20:00:02.632]';-0.175;-0.29
'[20:00:02.636]';-0.205;-0.285
'[20:00:02.640]';-0.23;-0.295
'[20:00:02.644]';-0.225;-0.33
'[20:00:02.648]';-0.21;-0.3
'[20:00:02.652]';-0.225;-0.275
'[20:00:02.656]';-0.22;-0.27
'[20:00:02.660]';-0.21;-0.265
'[20:00:02.664]';-0.225;-0.255
